GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                                  
00601	166836392	798613	64.416	0.308	18.180555	-66.749961                                                                                                                                                
00602	78546711	4428428	30.327	1.71	18.361945	-67.175597                                                                                                                                                 
00603	88980555	6253316	34.356	2.414	18.457399	-67.124867                                                                                                                                                
00606	114825641	12228	44.334	0.005	18.158327	-66.932928                                                                                                                                                 
00610	96150194	4289688	37.124	1.656	18.295304	-67.12518                                                                                                                                                 
00611	27580137	3631	10.649	0.001	18.276316	-66.807165                                                                                                                                                   
00612	197498183	15014523	76.254	5.797	18.416727	-66.70009                                                                                                                                               
00616	28175844	180538	10.879	0.07	18.420408	-66.671986                                                                                                                                                  
00617	47509244	1693103	18.343	0.654	18.446889	-66.561154                                                                                                                                                
00622	80724807	19583150	31.168	7.561	17.988103	-67.160357                                                                                                                                               
00623	101522969	14192149	39.198	5.48	18.084371	-67.158765                                                                                                                                               
00624	121722180	15303985	46.997	5.909	18.051808	-66.721711                                                                                                                                              
00627	120296554	3381810	46.447	1.306	18.412423	-66.863708                                                                                                                                               
00631	8095944	709369	3.126	0.274	18.184294	-66.830795                                                                                                                                                   
00636	949819	0	0.367	0.	18.1636	-67.080097                                                                                                                                                              
00637	91065921	26242	35.161	0.01	18.080103	-66.947975                                                                                                                                                   
00638	184928682	478957	71.401	0.185	18.280188	-66.513111                                                                                                                                                
00641	217833291	3450973	84.106	1.332	18.268074	-66.701785                                                                                                                                               
00646	54525347	3254763	21.052	1.257	18.432897	-66.286499                                                                                                                                                
00647	40920381	7973795	15.799	3.079	17.963613	-66.947127                                                                                                                                                
00650	82205157	551602	31.74	0.213	18.349209	-66.578112                                                                                                                                                  
00652	16678610	50964	6.44	0.02	18.448446	-66.594111                                                                                                                                                     
00653	57269617	5243421	22.112	2.024	17.988642	-66.90169                                                                                                                                                 
00656	109153498	10486443	42.144	4.049	18.040467	-66.78968                                                                                                                                               
00659	106243531	3026803	41.021	1.169	18.407304	-66.808995                                                                                                                                               
00660	29314499	481	11.318	0.	18.134695	-67.116199                                                                                                                                                       
00662	106890486	5320908	41.271	2.054	18.468301	-67.015749                                                                                                                                               
00664	121486630	3318	46.906	0.001	18.21033	-66.591616                                                                                                                                                   
00667	155934654	28248600	60.207	10.907	18.003422	-67.03581                                                                                                                                              
00669	166063613	88978	64.118	0.034	18.276925	-66.869587                                                                                                                                                 
00670	120455393	375649	46.508	0.145	18.233585	-66.987585                                                                                                                                                
00674	112542705	6882620	43.453	2.657	18.424145	-66.487895                                                                                                                                               
00676	126528238	56474	48.853	0.022	18.381597	-67.080884                                                                                                                                                 
00677	37733228	3594732	14.569	1.388	18.332568	-67.227022                                                                                                                                                
00678	75436365	4701704	29.126	1.815	18.430503	-66.930479                                                                                                                                                
00680	166550170	19822248	64.305	7.653	18.183493	-67.133054                                                                                                                                              
00682	42242062	8060474	16.31	3.112	18.224864	-67.153891                                                                                                                                                 
